	0
children.1.children.77.node_attrs.Nextclade_pango.value	XDY
children.1.children.78.node_attrs.partiallyAliased.value	XDZ
children.1.children.78.node_attrs.Nextclade_pango.value	XDZ
children.1.children.79.node_attrs.partiallyAliased.value	XE
children.1.children.79.node_attrs.Nextclade_pango.value	XE
children.1.children.80.node_attrs.partiallyAliased.value	XEB
children.1.children.80.node_attrs.Nextclade_pango.value	XEB
children.1.children.81.node_attrs.partiallyAliased.value	XEA
children.1.children.81.node_attrs.Nextclade_pango.value	XEA
children.1.children.82.node_attrs.partiallyAliased.value	XF
children.1.children.82.node_attrs.Nextclade_pango.value	XF
children.1.children.83.node_attrs.partiallyAliased.value	XG
children.1.children.83.node_attrs.Nextclade_pango.value	XG
children.1.children.84.node_attrs.partiallyAliased.value	XJ
children.1.children.84.node_attrs.Nextclade_pango.value	XJ
children.1.children.85.node_attrs.partiallyAliased.value	XH
children.1.children.85.node_attrs.Nextclade_pango.value	XH
children.1.children.86.node_attrs.partiallyAliased.value	XK
children.1.children.86.node_attrs.Nextclade_pango.value	XK
children.1.children.87.node_attrs.partiallyAliased.value	XN
children.1.children.87.node_attrs.Nextclade_pango.value	XN
children.1.children.88.node_attrs.partiallyAliased.value	XM
children.1.children.88.node_attrs.Nextclade_pango.value	XM
children.1.children.89.node_attrs.partiallyAliased.value	XL
children.1.children.89.node_attrs.Nextclade_pango.value	XL
children.1.children.90.node_attrs.partiallyAliased.value	XP
children.1.children.90.node_attrs.Nextclade_pango.value	XP
children.1.children.91.node_attrs.partiallyAliased.value	XQ
children.1.children.91.node_attrs.Nextclade_pango.value	XQ
children.1.children.92.node_attrs.partiallyAliased.value	XR
children.1.children.92.node_attrs.Nextclade_pango.value	XR
children.1.children.93.node_attrs.partiallyAliased.value	XS
children.1.children.93.node_attrs.Nextclade_pango.value	XS
children.1.children.94.node_attrs.partiallyAliased.value	XT
children.1.children.94.node_attrs.Nextclade_pango.value	XT
children.1.children.95.node_attrs.partiallyAliased.value	XW
children.1.children.95.node_attrs.Nextclade_pango.value	XW
children.1.children.96.node_attrs.partiallyAliased.value	XV
children.1.children.96.node_attrs.Nextclade_pango.value	XV
children.1.children.97.node_attrs.partiallyAliased.value	XU
children.1.children.97.node_attrs.Nextclade_pango.value	XU
children.1.children.98.node_attrs.partiallyAliased.value	XY
children.1.children.98.node_attrs.Nextclade_pango.value	XY
children.1.children.99.node_attrs.partiallyAliased.value	XZ
children.1.children.99.node_attrs.Nextclade_pango.value	XZ
children.1.children.100.node_attrs.partiallyAliased.value	XBK
children.1.children.100.node_attrs.Nextclade_pango.value	XBK
children.1.children.100.children.0.node_attrs.partiallyAliased.value	XBK.1
children.1.children.100.children.0.node_attrs.Nextclade_pango.value	XBK.1
children.1.children.100.children.1.node_attrs.partiallyAliased.value	XBK
children.1.children.100.children.1.node_attrs.Nextclade_pango.value	XBK
children.1.children.101.node_attrs.partiallyAliased.value	XCH
children.1.children.101.node_attrs.Nextclade_pango.value	XCH
children.1.children.101.children.0.node_attrs.partiallyAliased.value	XCH.1
children.1.children.101.children.0.node_attrs.Nextclade_pango.value	XCH.1
children.1.children.101.children.1.node_attrs.partiallyAliased.value	XCH
children.1.children.101.children.1.node_attrs.Nextclade_pango.value	XCH
children.1.children.102.node_attrs.partiallyAliased.value	XCT
children.1.children.102.node_attrs.Nextclade_pango.value	XCT
children.1.children.102.children.0.node_attrs.partiallyAliased.value	XCT.1
children.1.children.102.children.0.node_attrs.Nextclade_pango.value	XCT.1
children.1.children.102.children.1.node_attrs.partiallyAliased.value	XCT
children.1.children.102.children.1.node_attrs.Nextclade_pango.value	XCT
children.1.children.103.node_attrs.partiallyAliased.value	XDA
children.1.children.103.node_attrs.Nextclade_pango.value	XDA
children.1.children.103.children.0.node_attrs.partiallyAliased.value	XDA.1
children.1.children.103.children.0.node_attrs.Nextclade_pango.value	XDA.1
children.1.children.103.children.1.node_attrs.partiallyAliased.value	XDA
children.1.children.103.children.1.node_attrs.Nextclade_pango.value	XDA
children.1.children.104.node_attrs.partiallyAliased.value	XDR
children.1.children.104.node_attrs.Nextclade_pango.value	XDR
children.1.children.104.children.0.node_attrs.partiallyAliased.value	XDR.1
children.1.children.104.children.0.node_attrs.Nextclade_pango.value	XDR.1
children.1.children.104.children.1.node_attrs.partiallyAliased.value	XDR
children.1.children.104.children.1.node_attrs.Nextclade_pango.value	XDR
children.1.children.105.node_attrs.partiallyAliased.value	XDV
children.1.children.105.node_attrs.Nextclade_pango.value	XDV
children.1.children.105.children.0.node_attrs.partiallyAliased.value	XDV.1
children.1.children.105.children.0.node_attrs.Nextclade_pango.value	XDV.1
children.1.children.105.children.1.node_attrs.partiallyAliased.value	XDV
children.1.children.105.children.1.node_attrs.Nextclade_pango.value	XDV
children.1.children.106.node_attrs.partiallyAliased.value	XCF
children.1.children.106.node_attrs.Nextclade_pango.value	XCF
children.1.children.106.children.0.node_attrs.partiallyAliased.value	XCF
children.1.children.106.children.0.node_attrs.Nextclade_pango.value	XCF
children.1.children.106.children.1.node_attrs.partiallyAliased.value	XCF
children.1.children.106.children.1.node_attrs.Nextclade_pango.value	XCF
children.1.children.106.children.1.children.0.node_attrs.partiallyAliased.value	XCF.1
children.1.children.106.children.1.children.0.node_attrs.Nextclade_pango.value	XCF.1
children.1.children.106.children.1.children.1.node_attrs.partiallyAliased.value	XCF
children.1.children.106.children.1.children.1.node_attrs.Nextclade_pango.value	XCF
children.1.children.106.children.1.children.1.children.0.node_attrs.partiallyAliased.value	XCF.2
children.1.children.106.children.1.children.1.children.0.node_attrs.Nextclade_pango.value	XCF.2
children.1.children.106.children.1.children.1.children.1.node_attrs.partiallyAliased.value	XCF.3
children.1.children.106.children.1.children.1.children.1.node_attrs.Nextclade_pango.value	XCF.3
children.1.children.107.node_attrs.partiallyAliased.value	XDP
children.1.children.107.node_attrs.Nextclade_pango.value	XDP
children.1.children.107.children.0.node_attrs.partiallyAliased.value	XDP
children.1.children.107.children.0.node_attrs.Nextclade_pango.value	XDP
children.1.children.107.children.1.node_attrs.partiallyAliased.value	XDP
children.1.children.107.children.1.node_attrs.Nextclade_pango.value	XDP
children.1.children.107.children.1.children.0.node_attrs.partiallyAliased.value	XDP.1
children.1.children.107.children.1.children.0.node_attrs.Nextclade_pango.value	XDP.1
children.1.children.107.children.1.children.1.node_attrs.partiallyAliased.value	XDP.2
children.1.children.107.children.1.children.1.node_attrs.Nextclade_pango.value	XDP.2
children.1.children.107.children.1.children.2.node_attrs.partiallyAliased.value	XDP.3
children.1.children.107.children.1.children.2.node_attrs.Nextclade_pango.value	XDP.3
children.1.children.108.node_attrs.partiallyAliased.value	XBL
children.1.children.108.node_attrs.Nextclade_pango.value	XBL
children.1.children.108.children.0.node_attrs.partiallyAliased.value	XBL
children.1.children.108.children.0.node_attrs.Nextclade_pango.value	XBL
children.1.children.108.children.1.node_attrs.partiallyAliased.value	XBL
children.1.children.108.children.1.node_attrs.Nextclade_pango.value	XBL
children.1.children.108.children.1.children.0.node_attrs.partiallyAliased.value	XBL.1
children.1.children.108.children.1.children.0.node_attrs.Nextclade_pango.value	XBL.1
children.1.children.108.children.1.children.1.node_attrs.partiallyAliased.value	XBL.2
children.1.children.108.children.1.children.1.node_attrs.Nextclade_pango.value	XBL.2
children.1.children.108.children.1.children.2.node_attrs.partiallyAliased.value	XBL.3
children.1.children.108.children.1.children.2.node_attrs.Nextclade_pango.value	XBL.3
children.1.children.108.children.1.children.2.children.0.node_attrs.partiallyAliased.value	XBL.3
children.1.children.108.children.1.children.2.children.0.node_attrs.Nextclade_pango.value	XBL.3
children.1.children.108.children.1.children.2.children.1.node_attrs.partiallyAliased.value	XBL.3.1
children.1.children.108.children.1.children.2.children.1.node_attrs.Nextclade_pango.value	XBL.3.1
children.1.children.109.node_attrs.partiallyAliased.value	XDQ
children.1.children.109.node_attrs.Nextclade_pango.value	XDQ
children.1.children.109.children.0.node_attrs.partiallyAliased.value	XDQ
children.1.children.109.children.0.node_attrs.Nextclade_pango.value	XDQ
children.1.children.109.children.1.node_attrs.partiallyAliased.value	XDQ
children.1.children.109.children.1.node_attrs.Nextclade_pango.value	XDQ
children.1.children.109.children.1.children.0.node_attrs.partiallyAliased.value	XDQ.3
children.1.children.109.children.1.children.0.node_attrs.Nextclade_pango.value	XDQ.3
children.1.children.109.children.1.children.1.node_attrs.partiallyAliased.value	XDQ.2
children.1.children.109.children.1.children.1.node_attrs.Nextclade_pango.value	XDQ.2
children.1.children.109.children.1.children.2.node_attrs.partiallyAliased.value	XDQ.1
